order,orig_org_id,base_org_id,suffix,,combat_support,echelon,echelon_group,"is_
deployable","has_
physical_
assets","has_
equipment_
assets","has_
personnel_
assets",uic,"home_
location"
122,512-MAINTCO,512-MAINTCO,29-SPTGP.21-TSC.ARMY.MIL,,CSS,COMPANY,Theater,Y,Y,Y,Y,WB38AA,VYZR
123,574-SSCO,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL,,CSS,COMPANY,Theater,Y,Y,Y,Y,WDCQAA,VYZR
124,5-MAINTCO,5-MAINTCO,29-SPTGP.21-TSC.ARMY.MIL,,CSS,COMPANY,Theater,Y,Y,Y,Y,WB1XAA,UDKL
125,343-SUPPLYCO,343-SUPPLYCO,29-SPTGP.21-TSC.ARMY.MIL,,CSS,COMPANY,Theater,Y,Y,Y,Y,WSS7AA,UJGP
126,18-PERISH-SUBPLT,18-PERISH-SUBPLT,29-SPTGP.21-TSC.ARMY.MIL,,CSS,PLATOON,Theater,Y,Y,Y,Y,WDNZAA,HCTL
127,191-ORDBN,191-ORDBN,29-SPTGP.21-TSC.ARMY.MIL,,CSS,BATTALION,Theater,Y,Y,Y,Y,WFMVAA,QEYP
128,23-ORDCO,23-ORDCO,29-SPTGP.21-TSC.ARMY.MIL,,CSS,COMPANY,Theater,Y,Y,Y,Y,WB3TAA,QEYP
129,702-EODDET,702-EODDET,29-SPTGP.21-TSC.ARMY.MIL,,CSS,DETACHMENT,Theater,Y,Y,Y,Y,WB54Y1,FRBC
130,720-EODDET,720-EODDET,29-SPTGP.21-TSC.ARMY.MIL,,CSS,DETACHMENT,Theater,Y,Y,Y,Y,WB6CRD,VDYD
131,24-ORDCO,24-ORDCO,29-SPTGP.21-TSC.ARMY.MIL,,CSS,COMPANY,Theater,Y,Y,Y,Y,WDHJAA,LEXG
132,37-TRANSGP,37-TRANSGP,21-TSC.ARMY.MIL,,CSS,GROUP,Theater,Y,Y,Y,Y,WCJZAA,MJPG
133,28-TCBN,28-TCBN,37-TRANSGP.21-TSC.ARMY.MIL,,CSS,BATTALION,Theater,Y,Y,Y,Y,WCKNAA,ECST
134,66-MDM-TRKCO,66-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL,,CSS,COMPANY,Theater,Y,Y,Y,Y,WCNXAA,MJPG
135,68-MDM-TRKCO,68-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL,,CSS,COMPANY,Theater,Y,Y,Y,Y,WCNZAA,ECST
136,109-MDM-TRKCO,109-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL,,CSS,COMPANY,Theater,Y,Y,Y,Y,WH38AA,ECST
137,6-TCBN,6-TCBN,37-TRANSGP.21-TSC.ARMY.MIL,,CSS,BATTALION,Theater,Y,Y,Y,Y,WCKKAA,HERT
138,416-POL-TRKCO,416-POL-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL,,CSS,COMPANY,Theater,Y,Y,Y,Y,WNCNAA,LEXG
139,110-POL-SUPPLYCO,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL,,CSS,COMPANY,Theater,Y,Y,Y,Y,WELKAA,LEXG
140,632-MAINTCO,632-MAINTCO,37-TRANSGP.21-TSC.ARMY.MIL,,CSS,COMPANY,Theater,Y,Y,Y,Y,WB40AA,HKUZ
